vehículo,año,precio,aceleración,consumo,clase
Prius (1ra Gen),1997,24509.74,7.46,41.26,Compacto
Tino,2000,35354.97,8.2,54.1,Compacto
Prius (2da Gen),2000,26832.25,7.97,45.23,Compacto
Insight,2000,18936.41,9.52,53.0,Biplaza
Civic (1ra Gen),2001,25833.38,7.04,47.04,Compacto
Insight,2001,19036.71,9.52,53.0,Biplaza
Insight,2002,19137.01,9.71,53.0,Biplaza
Alphard,2003,38084.77,8.33,40.46,Minivan
Insight,2003,19137.01,9.52,53.0,Biplaza
Civic,2003,14071.92,8.62,41.0,Compacto
Escape,2004,36676.1,10.32,31.99,SUV
Insight,2004,19237.31,9.35,52.0,Biplaza
Prius,2004,20355.64,9.9,46.0,Mediano
Silverado 15 2WD,2004,30089.64,9.09,17.0,Camioneta
Lexus RX400h,2005,58521.14,12.76,28.23,SUV
Civic (2da Gen),2005,26354.44,7.63,39.99,Compacto
Highlander,2005,29186.21,12.76,29.4,SUV
Insight,2005,19387.76,9.71,52.0,Biplaza
Civic,2005,18236.33,8.26,41.0,Compacto
Escape 2WD,2005,19322.56,9.52,29.0,SUV
Accord,2005,16343.69,14.93,28.0,Mediano
Silverado 15 2WD,2005,32647.26,11.11,17.0,Camioneta
Mercury Mariner,2006,34772.4,8.98,32.93,SUV
Camry,2006,29853.25,11.28,33.64,Mediano
Lexus GS450h,2006,64547.56,18.65,33.4,Mediano
Estima,2006,36012.7,9.26,47.04,Minivan
Altima,2006,29524.75,13.29,32.93,Mediano
Chevrolet Tahoe,2007,42924.35,10.91,22.35,SUV
Kluger,2007,46229.48,12.76,25.87,SUV
Lexus LS600h/hL,2007,118543.6,17.54,21.0,Mediano
Tribute,2007,24823.83,11.28,31.75,SUV
GMC Yukon,2007,57094.81,12.28,21.78,SUV
Aura,2007,22110.87,10.87,27.0,Mediano
Vue,2007,22938.33,10.75,26.0,SUV
Silverado 15 2WD,2007,34653.23,11.49,17.0,Camioneta
Crown,2008,62290.38,8.7,37.16,Mediano
Cadillac Escalade,2008,78932.81,9.09,22.35,SUV
F3DM,2008,23744.06,9.52,30.11,Mediano
Altima,2008,18675.63,13.7,34.0,Mediano
A5 BSG,2009,11849.43,7.87,35.28,Mediano
Lexus RX450h,2009,46233.36,13.47,31.99,SUV
ML450 Blue HV,2009,60519.83,12.6,23.99,SUV
Prius (3ra Gen),2009,24641.18,9.6,47.98,Compacto
S400 Long,2009,96208.93,13.89,26.34,Grande
Mercury Milan,2009,30522.57,11.55,40.69,Mediano
Lexus HS250h,2009,38478.15,11.55,54.1,Compacto
Avante/Elantra LPI,2009,21872.71,10.21,41.87,Compacto
ActiveHybrid X6,2009,97237.9,17.96,18.82,SUV
SAI,2009,39172.44,11.55,54.1,Mediano
Malibu,2009,24768.79,9.09,29.0,Mediano
Vue,2009,26408.67,13.7,28.0,SUV
Aspen HEV,2009,44903.77,13.51,21.0,SUV
Durango,2009,41033.24,8.33,21.0,SUV
Auris HSD,2010,35787.29,8.85,68.21,Compacto
CR-Z,2010,21435.54,9.24,37.0,Biplaza
F3DM PHEV,2010,23124.59,9.24,30.15,Mediano
Touareg,2010,64198.95,15.38,28.7,SUV
Audi Q5,2010,37510.86,14.08,33.64,SUV
Jeep Patriot,2010,17045.06,12.05,29.4,SUV
Besturn B50  ,2010,14586.61,7.14,31.28,Mediano
ActiveHybrid 7,2010,104300.43,20.41,22.11,Grande
Lincoln MKZ,2010,37036.64,11.15,37.63,Mediano
Fit/Jazz,2010,16911.85,8.26,30.0,Compacto
Sonata,2010,28287.66,14.7,37.0,Mediano
Cayenne S,2010,73183.47,14.71,26.11,SUV
Insight,2010,19859.16,9.17,41.0,Compacto
Fuga Infiniti M35H,2010,70157.02,18.65,33.64,Mediano
Chevrolet Volt,2010,42924.35,10.78,35.0,Compacto
Tribute 4WD,2010,27968.32,12.35,29.0,SUV
Fusion FWD,2010,28033.51,11.49,39.0,Mediano
HS 250h,2010,34753.53,11.76,35.0,Compacto
Mariner FWD,2010,30194.95,11.63,32.0,SUV
RX 450h,2010,42812.54,13.89,30.0,SUV
ML450 4natic,2010,55164.33,12.99,22.0,SUV
Silverado 15 2WD,2010,38454.56,11.76,22.0,Camioneta
S400,2010,88212.78,12.99,21.0,Grande
Aqua,2011,22850.87,9.35,50.0,Compacto
Lexus CT200h,2011,30082.16,9.71,42.0,Compacto
Civic (3ra Gen),2011,24999.59,9.6,44.36,Compacto
Prius alpha (V),2011,30588.35,10.0,72.92,Mediano
3008,2011,45101.54,11.36,61.16,Compacto
Fit Shuttle,2011,16394.36,7.52,58.8,Minivan
Buick Regal,2011,27948.93,12.05,25.99,Mediano
Prius V,2011,27272.28,9.51,32.93,Mediano
Freed/Freed Spike,2011,27972.07,6.29,50.81,Minivan
Optima K5,2011,26549.16,10.54,36.0,Mediano
Escape FWD,2011,30661.34,12.35,32.0,SUV
Insight,2011,18254.38,9.52,41.0,Compacto
MKZ FWD,2011,34748.52,11.49,39.0,Mediano
CR-Z,2011,19402.8,12.2,37.0,Biplaza
Sonata,2011,25872.07,11.9,36.0,Mediano
Camry,2011,27130.82,13.89,33.0,Mediano
Tribute 2WD,2011,26213.09,12.5,32.0,SUV
Cayenne S,2011,67902.28,18.52,21.0,SUV
Touareg,2011,50149.39,16.13,21.0,SUV
ActiveHybrid 7i,2011,102605.66,18.18,20.0,Mediano
Prius C,2012,19006.62,9.35,50.0,Compacto
Prius PHV,2012,32095.61,8.82,50.0,Mediano
Ampera,2012,31739.55,11.11,37.0,Compacto
ActiveHybrid 5,2012,62180.23,16.67,26.0,Mediano
Lexus GS450h,2012,59126.14,16.95,31.0,Mediano
Insight,2012,18555.28,9.42,42.0,Compacto
Chevrolet Volt,2012,39261.96,11.11,37.0,Compacto
Camry LE,2012,26067.66,13.16,41.0,Mediano
MKZ FWD,2012,34858.84,11.49,39.0,Mediano
M35h,2012,53860.45,19.23,29.0,Mediano
LaCrosse,2012,30049.52,11.36,29.0,Mediano
ActiveHybrid 5,2012,61132.11,17.54,26.0,Mediano
Panamera S,2012,95283.85,17.54,25.0,Grande
Yukon 1500,2012,52626.77,13.5,21.0,SUV
Prius C,2013,19080.0,8.7,50.0,Compacto
Jetta,2013,24995.0,12.66,45.0,Compacto
Civic,2013,24360.0,10.2,44.0,Compacto
Prius,2013,24200.0,10.2,50.0,Mediano
Fusion FWD,2013,27200.0,11.72,47.0,Mediano
C-Max FWD,2013,25200.0,12.35,43.0,Grande
Insight,2013,18600.0,11.76,42.0,Compacto
Camry LE,2013,26140.0,13.51,41.0,Mediano
Camry LXLE,2013,27670.0,13.33,40.0,Mediano
Sonata,2013,25650.0,11.76,38.0,Mediano
Optima,2013,25900.0,11.63,38.0,Mediano
Sonata Limited,2013,30550.0,11.76,37.0,Mediano
Optima EX,2013,31950.0,11.36,37.0,Mediano
Malibu,2013,24985.0,11.49,29.0,Mediano
LaCrosse,2013,31660.0,11.36,29.0,Mediano
Regal,2013,29015.0,12.2,29.0,Mediano
RX 450h,2013,46310.0,12.99,30.0,SUV
Highlander 4WD,2013,40170.0,13.89,28.0,SUV
Q5,2013,50900.0,14.71,26.0,SUV
Cayenne S,2013,69850.0,16.39,21.0,SUV
Touareg,2013,62575.0,16.13,21.0,SUV
Escalade 2WD,2013,74425.0,11.63,21.0,SUV
Tahoe 2WD,2013,53620.0,11.9,21.0,SUV
Yukon 1500,2013,54145.0,11.88,21.0,SUV
Yukon 1500,2013,61960.0,13.33,21.0,SUV
MKZ FWD,2013,35925.0,14.03,45.0,Mediano
CT 200h,2013,32050.0,10.31,42.0,Compacto
ES 300h,2013,39250.0,12.35,40.0,Mediano
ILX,2013,28900.0,9.26,38.0,Compacto
ActiveHybrid 3,2013,49650.0,14.93,28.0,Compacto
Silverado 15 2WD,2013,41135.0,12.35,21.0,Camioneta
Sierra 15 2WD,2013,41555.0,10.0,21.0,Camioneta
GS 450h,2013,59450.0,16.67,31.0,Mediano
M35h,2013,54750.0,19.61,29.0,Mediano
E400,2013,55800.0,14.93,26.0,Mediano
ActiveHybrid 5,2013,61400.0,12.99,26.0,Mediano
ActiveHybrid 7L,2013,84300.0,18.18,25.0,Grande
Panamera S,2013,96150.0,18.52,25.0,Grande
S400,2013,92350.0,13.89,21.0,Grande
Prius Plug-in,2013,32000.0,9.17,50.0,Mediano
C-Max Energi Plug-in,2013,32950.0,11.76,43.0,Mediano
Fusion Energi Plug-in,2013,38700.0,11.76,43.0,Mediano
Chevrolet Volt,2013,39145.0,11.11,37.0,Compacto
